# global.columns = ID FORM LEMMA UPOS XPOS FEATS HEAD DEPREL DEPS MISC
# sent_id = Q006013-1
# text = Aššur-dan šarru dannu šar kiššati šar māt Aššur nibīt Aššur ša x ultu ulla Aššur šumšu ibbû ša x u agâ ṣīru ušatmehu ša x ana šarrūt x māt Aššur rabîš ukīnušu mār Tukulti-apil-Ešarra šar kiššati šar māt Aššur mār Aššur-reša-iši šar kiššati šar māt Aššurma
1	Aššur-dan	Aššur-dan_II	PROPN	RN	Case=Undefined|Gender=M	0	root	0:root	{m}aš-šur-KAL-an
# text = narkabāti ummānāti adki
1	narkabāti	narkabtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	3	obj	3:obj	{GIŠ}GIGIR.MEŠ
2	ummānāti	ummānu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	1	conj	1:conj	ERIM.MEŠ
3	adki	dekû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	_

# sent_id = Q006013-19
# text = x x dīktašunu maʾatta adūk
1	x	_	X	u	_	_	_	_	x
2	x	_	X	u	_	_	_	_	x
3-4	dīktašunu	_	_	_	_	_	_	_	_
3	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	6	obj	6:obj	di-ik-ta-šu-nu
4	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	3	det	3:det	_
5	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	3	amod	3:amod	ma-ʾa-at-ta
6	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk

# sent_id = Q006013-20
# text = ālānišunu appul aqqur ina išātāti ašrupu
1-2	ālānišunu	_	_	_	_	_	_	_	_
1	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	3	obj	3:obj	URU.MEŠ-šu-nu
2	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	appul	napālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ap-pul
4	aqqur	naqāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	3	conj	3:conj	aq-qur
5	ina	ina	ADP	PRP	_	6	case	6:case	i-na
6	išātāti	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	7	obl	7:obl	_
7	ašrupu	šarāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	3	conj	3:conj	aš₂-ru-pu

# sent_id = Q006013-21
# text = sītāt ummānātešunu ša ištu pān kakkīya ipparšidūni
1	sītāt	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Bound|Number=Pl	0	root	0:root	_
2-3	ummānātešunu	_	_	_	_	_	_	_	_
2	ummānāte	ummānu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	1	nmod:poss	1:nmod:poss	um-ma-na-te-šu-nu
3	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	2	det	2:det	_
4	ša	ša	PRON	REL	_	9	nsubj	9:nsubj	ša
5	ištu	ištu	ADP	PRP	_	6	case	6:case	iš-tu
6	pān	pānu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	9	obl	9:obl	pa-an
7-8	kakkīya	_	_	_	_	_	_	_	_
7	kakkī	kakku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	6	nmod:poss	6:nmod:poss	{GIŠ}TUKUL.MEŠ-ia
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	7:det	_
9	ipparšidūni	naparšudu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=N	1	acl:relcl	1:acl:relcl	ip-par₂-ši-du-u₂-ni

# sent_id = Q006013-22
# text = ištu x adi Halhalauš ša Sa-x-zi arkišunu artedi
1	ištu	ištu	ADP	PRP	_	2	case	2:case	iš-tu
2	x	_	PROPN	u	Case=Gen	9	obl	9:obl	x
3	adi	adi	ADP	PRP	_	4	case	4:case	a-di
4	Halhalauš	Halhalauš	PROPN	SN	Case=Undefined|Gender=Undefined	9	obl	9:obl	{URU}hal-ha-la-uš
5	ša	ša	ADP	DET	_	6	case	6:case	ša
6	Sa-x-zi	Sa-x-zi	PROPN	GN	Case=Gen	4	nmod	4:nmod	{KUR}sa-x-x-x-zi
7-8	arkišunu	_	_	_	_	_	_	_	_
7	arki	warki	ADP	PRP	_	8	dep	8:dep	EGIR-šu-nu
8	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	9	obl	9:obl	_
9	artedi	_	VERB	_	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Perfect|Verbstem=G	0	root	0:root	_

# sent_id = Q006013-23
# text = dīktašunu maʾatta adūk šallassunu makkūršunu ašlul
1-2	dīktašunu	_	_	_	_	_	_	_	_
1	dīkta	dīktu	NOUN	N	Case=Acc|Gender=F|Nounbase=Suffixal|Number=Sg	4	obj	4:obj	di-ik-ta-šu-nu
2	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	maʾatta	mādu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	1	amod	1:amod	ma-ʾa-at-ta
4	adūk	dâku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-duk
5-6	šallassunu	_	_	_	_	_	_	_	_
5	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	9	obj	9:obj	šal-la-su-nu
6	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	5	det	5:det	_
7-8	makkūršunu	_	_	_	_	_	_	_	_
7	makkūr	makkūru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	5	conj	5:conj	NIG₂.GA-šu₂-nu
8	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	7	det	7:det	_
9	ašlul	šalālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	4	conj	4:conj	aš₂-lul

# sent_id = Q006013-24
# text = sitātešunu assuha ina x x x ana miṣir māt Aššur amnûšunūti
1-2	sitātešunu	_	_	_	_	_	_	_	_
1	sītāte	šittu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	3	obj	3:obj	si-ta-te-šu-nu
2	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	assuha	nasāhu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	0	root	0:root	a-su-ha
4	ina	ina	ADP	PRP	_	5	case	5:case	i-na
5	x	_	PROPN	u	_	6	obl	6:obl	x
6	x	_	VERB	u	_	3	conj	3:conj	x
7	x	_	X	u	_	_	_	_	x
8	ana	ana	ADP	PRP	_	9	case	9:case	a-na
9	miṣir	miṣru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	12	obl	12:obl	mi-ṣi-ir
10	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	nmod:poss	9:nmod:poss	KUR
11	Aššur	Aššur	PROPN	GN	Case=Undefined|Gender=M	10	nmod:poss	10:nmod:poss	aš-šur
12-13	amnûšunūti	_	_	_	_	_	_	_	_
12	amnu	manû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	3	conj	3:conj	am-nu-šu-nu-ti
13	šunūti	_	PRON	_	Gender=M|Number=Pl|Person=3	12	obj	12:obj	_

# sent_id = Q006013-25
# text = ina qibīt Aššur bēliya ana Katmuhi lū allik
1	ina	ina	ADP	PRP	_	2	case	2:case	i-na
2	qibīt	qibītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	obl	9:obl	qi₂-bit
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	2:nmod:poss	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	3:appos	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	4:det	_
6	ana	ana	ADP	PRP	_	7	case	7:case	a-na
7	Katmuhi	Katmuhu	PROPN	GN	Case=Gen|Gender=Undefined	9	obl	9:obl	{KUR}kat-mu-hi
8	lū	lū	PART	MOD	_	9	advmod:emph	9:advmod:emph	lu
9	allik	alāku	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	a-lik

# sent_id = Q006013-26
# text = Šara-x x appul aqqur ina išātāti ašrup
1	Šara-x x	Šara-x|_	PROPN	SN|u	_	2	obj	2:obj	{URU}ša-ra-x|x
2	appul	napālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ap-pul
3	aqqur	naqāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	2	conj	2:conj	aq-qur
4	ina	ina	ADP	PRP	_	5	case	5:case	i-na
5	išātāti	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	6	obl	6:obl	_
6	ašrup	šarāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	2	conj	2:conj	aš₂-ru-up

# sent_id = Q006013-27
# text = Kundibhale šar Katmuhi ina qabal ēkallišu qātī lū ikšussu
1	Kundibhale	Kundibhale	PROPN	RN	Case=Undefined|Gender=M	11	obj	11:obj	{m}ku-un-di-ib-ha-le-e
2	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
3	Katmuhi	Katmuhu	PROPN	GN	Case=Gen|Gender=Undefined	2	nmod:poss	2:nmod:poss	{KUR}kat-mu-hi
4	ina	ina	ADP	PRP	_	5	case	5:case	i-na
5	qabal	qablu	NOUN	N	Case=Gen|Gender=M|Nounbase=Bound|Number=Sg	11	obl	11:obl	_
6-7	ēkallišu	_	_	_	_	_	_	_	_
6	ēkalli	ēkallu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	5	nmod:poss	5:nmod:poss	E₂.GAL-šu
7	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	6	det	6:det	_
8-9	qātī	_	_	_	_	_	_	_	_
8	qāt	qātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	11	nsubj	11:nsubj	qa-a-ti
9	ī	_	PRON	_	Number=Sg|Person=1	8	det	8:det	_
10	lū	lū	PART	MOD	_	11	advmod:emph	11:advmod:emph	lu
11-12	ikšussu	_	_	_	_	_	_	_	_
11	ikšus	_	VERB	_	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Tense=Preterit|Verbstem=G	0	root	0:root	_
12	su	_	PRON	_	Gender=M|Number=Sg|Person=3	11	obj	11:obj	_

# sent_id = Q006013-28
# text = x siparrī annakī aban šadê šūquru x x.MEŠ-šu šallassu kabitta ana āliya Aššur ubla
1	x	_	X	u	_	_	_	_	x
2	siparrī	siparru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	16	obj	16:obj	ZABAR.MEŠ
3	annakī	annaku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Undefined|Number=Pl	2	conj	2:conj	AN.NA.MEŠ
4	aban	abnu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	2	conj	2:conj	_
5	šadê	šadû	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	4	nmod:poss	4:nmod:poss	KUR-e
6	šūquru	šūquru	ADJ	AJ	Case=Nom|Gender=M|Number=Sg	4	amod	4:amod	šu-qu-ru
7	x	_	X	u	_	_	_	_	x
8	x.MEŠ-šu	_	X	u	_	_	_	_	x.MEŠ-šu
9-10	šallassu	_	_	_	_	_	_	_	_
9	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	2	appos	2:appos	šal-la-su
10	su	_	PRON	_	Gender=M|Number=Sg|Person=3	9	det	9:det	_
11	kabitta	kabtu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	9	amod	9:amod	DUGUD-ta
12	ana	ana	ADP	PRP	_	13	case	13:case	a-na
13-14	āliya	_	_	_	_	_	_	_	_
13	āli	ālu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	16	obl	16:obl	URU-ia
14	ya	_	PRON	_	Number=Sg|Person=1	13	det	13:det	_
15	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	13	appos	13:appos	aš-šur
16	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	0	root	0:root	ub-la

# sent_id = Q006013-29
# text = x-silla dāgil pāni ša ramāniya ina kussî bēlūtīšu ušēšib
1	x-silla	x-silla	PROPN	RN	Gender=M	11	obj	11:obj	x-sil-la
2	dāgil	dāgilu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	da-gil
3	pāni	pānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	2	nmod:poss	2:nmod:poss	pa-ni
4	ša	ša	ADP	DET	_	5	case	5:case	ša
5-6	ramāniya	_	_	_	_	_	_	_	_
5	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	nmod	3:nmod	ra-ma-ni-ia
6	ya	_	PRON	_	Number=Sg|Person=1	5	det	5:det	_
7	ina	ina	ADP	PRP	_	8	case	8:case	i-na
8	kussî	kussû	NOUN	N	Case=Gen|Gender=F|Nounbase=Bound|Number=Sg	11	obl	11:obl	_
9-10	bēlūtīšu	_	_	_	_	_	_	_	_
9	bēlūti	bēlūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	8	nmod:poss	8:nmod:poss	EN-ti-šu
10	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	9	det	9:det	_
11	ušēšib	wašābu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=S	0	root	0:root	u₂-še-ši-ib

# sent_id = Q006013-30
# text = Kundibhale šar Katmuhi ana māt Aššur ubla ina Arbail lū akūṣ maškašu dūra ša x-naš uhallip
1	Kundibhale	Kundibhale	PROPN	RN	Case=Undefined|Gender=M	7	obj	7:obj	{m}ku-un-di-ib-ha-le-e
2	šar	šarru	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	appos	1:appos	MAN
3	Katmuhi	Katmuhu	PROPN	GN	Case=Gen|Gender=Undefined	2	nmod:poss	2:nmod:poss	{KUR}kat-mu-hi
4	ana	ana	ADP	PRP	_	5	case	5:case	a-na
5	māt	mātu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	7	obl	7:obl	KUR
6	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	5	nmod:poss	5:nmod:poss	aš-šur
7	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	0	root	0:root	ub-la
8	ina	ina	ADP	PRP	_	9	case	9:case	i-na
9	Arbail	Arbail	PROPN	SN	Case=Undefined|Gender=Undefined	11	obl	11:obl	arba-il₃
10	lū	lū	PART	MOD	_	11	advmod:emph	11:advmod:emph	lu
11	akūṣ	kâṣu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	7	conj	7:conj	a-ku-uṣ
12-13	maškašu	_	_	_	_	_	_	_	_
12	mašak	mašku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Sg	17	obj	17:obj	KUŠ-šu
13	šu	_	PRON	_	Gender=M|Number=Sg|Person=3	12	det	12:det	_
14	dūra	dūru	NOUN	N	Case=Acc|Gender=M|Nounbase=Free|Number=Sg	17	advmod	17:advmod	_
15	ša	ša	ADP	DET	_	16	case	16:case	ša
16	x-naš	x-naš	PROPN	SN	_	14	nmod	14:nmod	{URU}x-x-na-aš₂
17	uhallip	halāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=D	7	conj	7:conj	u₂-ha-al-lip

# sent_id = Q006013-31
# text = ina qibīt Aššur bēliya dakût ummānāteya aškun Mat Musraya ša ittiya ikkirūni akšud
1	ina	ina	ADP	PRP	_	2	case	2:case	i-na
2	qibīt	qibītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	obl	9:obl	qi-bit
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	2	nmod	2:nmod	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	3:appos	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	4:det	_
6	dakût	dikûtu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Bound|Number=Sg	9	obj	9:obj	da-ku-ut
7-8	ummānāteya	_	_	_	_	_	_	_	_
7	ummānāte	ummānu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Pl	6	nmod:poss	6:nmod:poss	um-ma-na-te-ia.MEŠ
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	7:det	_
9	aškun	šakānu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	aš₂-kun
10	Mat Musraya	_|Musrayu	PROPN	_|EN	Case=Undefined|Gender=Undefined	15	obj	15:obj	_|{KUR}mu-us-ra-a-ia
11	ša	ša	PRON	DET	_	14	nsubj	14:nsubj	ša
12-13	ittiya	_	_	_	_	_	_	_	_
12	itti	itti	ADP	PRP	_	13	dep	13:dep	it-ti-ia
13	ya	_	PRON	_	Number=Sg|Person=1	14	obl	14:obl	_
14	ikkirūni	nakāru	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	10	acl:relcl	10:acl:relcl	_
15	akšud	kašādu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	9	conj	9:conj	ak-šud

# sent_id = Q006013-32
# text = ālānišunu appul aqqur ina išātāti ašrup
1-2	ālānišunu	_	_	_	_	_	_	_	_
1	ālāni	ālu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	3	obj	3:obj	URU.MEŠ-šu₂-nu
2	šunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	appul	napālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	ap-pu-ul
4	aqqur	naqāru	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	3	conj	3:conj	aq-qur
5	ina	ina	ADP	PRP	_	6	case	6:case	i-na
6	išātāti	_	NOUN	_	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	7	obl	7:obl	_
7	ašrup	šarāpu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	3	conj	3:conj	aš-ru-up

# sent_id = Q006013-33
# text = šallassunu ana lā mīni ušēṣâ ana āliya Aššur ubla
1-2	šallassunu	_	_	_	_	_	_	_	_
1	šallas	šallatu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Suffixal|Number=Sg	5	obj	5:obj	šal-la-su-nu
2	sunu	_	PRON	_	Gender=M|Number=Pl|Person=3	1	det	1:det	_
3	ana	ana	ADP	PRP	_	4	case	4:case	a-na
4	lā mīni	lā|mīnu	ADJ	MOD|N	Case=Gen|Gender=M|Number=Sg	5	obl	5:obl	la|mi-ni
5	ušēṣâ	waṣû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=S	0	root	0:root	u₂-še-ṣa-a
6	ana	ana	ADP	PRP	_	7	case	7:case	a-na
7-8	āliya	_	_	_	_	_	_	_	_
7	āli	ālu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	10	obl	10:obl	URU-ia
8	ya	_	PRON	_	Number=Sg|Person=1	7	det	7:det	_
9	Aššur	Aššur	PROPN	SN	Case=Undefined|Gender=M	7	appos	7:appos	aš-šur
10	ubla	wabālu	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Ventive=Yes|Verbstem=G	5	conj	5:conj	ub-la

# sent_id = Q006013-34
# text = x-e ša Aššur bēliya ša ištu tarṣi x maddattu ana Aššur bēliya iklû
1	x-e	_	NOUN	u	_	0	root	0:root	x-e
2	ša	ša	ADP	DET	_	3	case	3:case	ša
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	1	nmod	1:nmod	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	3:appos	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	4:det	_
6	ša	ša	PRON	DET	_	15	nsubj	15:nsubj	ša
7	ištu	ištu	ADP	PRP	_	8	case	8:case	iš-tu
8	tarṣi	tarṣu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	15	obl	15:obl	tar-ṣi
9	x	_	PROPN	u	_	8	nmod:poss	8:nmod:poss	x
10	maddattu	maddattu	NOUN	N	Case=Nom|Gender=F|Nounbase=Free|Number=Sg	15	obj	15:obj	ma-da-tu
11	ana	ana	ADP	PRP	_	12	case	12:case	a-na
12	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	15	obl	15:obl	aš-šur
13-14	bēliya	_	_	_	_	_	_	_	_
13	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	12	appos	12:appos	EN-ia
14	ya	_	PRON	_	Number=Sg|Person=1	13	det	13:det	_
15	iklû	kalû	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Pl|Person=3|Subordinative=Yes|Tense=Preterit|Verbstem=G	1	acl:relcl	1:acl:relcl	ik-lu-u₂

# sent_id = Q006013-35
# text = ina tukulti Aššur bēliya u urigalli ālik pāniya x ana ramāniya lū amnu
1	ina	ina	ADP	PRP	_	2	case	2:case	i-na
2	tukulti	tukultu	NOUN	N	Case=Gen|Gender=F|Nounbase=Bound|Number=Sg	16	obl	16:obl	{GIŠ}tukul-ti
3	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	2	nmod:poss	2:nmod:poss	aš-šur
4-5	bēliya	_	_	_	_	_	_	_	_
4	bēli	bēlu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	3	appos	3:appos	EN-ia
5	ya	_	PRON	_	Number=Sg|Person=1	4	det	4:det	_
6	u	u	CCONJ	CNJ	_	7	cc	7:cc	u₃
7	urigalli	urigallu	NOUN	N	Case=Gen|Gender=M|Nounbase=Free|Number=Sg	3	conj	3:conj	{d}URI₃.GAL
8	ālik	āliku	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	7	appos	7:appos	a-lik
9-10	pāniya	_	_	_	_	_	_	_	_
9	pāni	pānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	8	nmod:poss	8:nmod:poss	pa-ni-ia
10	ya	_	PRON	_	Number=Sg|Person=1	9	det	9:det	_
11	x	_	X	u	_	_	_	_	x
12	ana	ana	ADP	PRP	_	13	case	13:case	a-na
13-14	ramāniya	_	_	_	_	_	_	_	_
13	ramāni	ramānu	NOUN	N	Case=Gen|Gender=M|Nounbase=Suffixal|Number=Sg	16	obl	16:obl	ra-ma-ni-ia
14	ya	_	PRON	_	Number=Sg|Person=1	13	det	13:det	_
15	lū	lū	PART	MOD	_	16	advmod:emph	16:advmod:emph	lu
16	amnu	manû	VERB	V	Finiteness=Finite|Gender=C|Mood=Indicative|Number=Sg|Person=1|Tense=Preterit|Verbstem=G	0	root	0:root	am-nu

# sent_id = Q006013-36
# text = x uzna rapašta iqīš
1	x	_	X	u	_	_	_	_	x
2	uzna	uznu	NOUN	N	Case=Acc|Gender=F|Nounbase=Free|Number=Sg	4	obj	4:obj	GEŠTU
3	rapašta	rapšu	ADJ	AJ	Case=Acc|Gender=F|Number=Sg	2	amod	2:amod	DAGAL-ta
4	iqīš	qiāšu	VERB	V	Finiteness=Finite|Gender=M|Mood=Indicative|Number=Sg|Person=3|Tense=Preterit|Verbstem=G	0	root	0:root	NIG₂.BA

# sent_id = Q006013-37
# text = x bēlūtiya ša dārâte
1	x	_	X	u	_	_	_	_	x
2-3	bēlūtiya	_	_	_	_	_	_	_	_
2	bēlūti	bēlūtu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	0	root	0:root	EN-ti-ia
3	ya	_	PRON	_	Number=Sg|Person=1	2	det	2:det	_
4	ša	ša	ADP	REL	_	5	case	5:case	ša
5	dārâte	dārītu	NOUN	N	Case=Undefined|Gender=F|Nounbase=Free|Number=Pl	2	nmod	2:nmod	da-ra-a-te

# sent_id = Q006013-38
# text = x x ilāniya
1	x	_	X	u	_	_	_	_	x
2	x	_	X	u	_	_	_	_	x
3-4	ilāniya	_	_	_	_	_	_	_	_
3	ilāni	ilu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Suffixal|Number=Pl	0	root	0:root	DINGIR.MEŠ-ni-ia
4	ya	_	PRON	_	Number=Sg|Person=1	3	det	3:det	_

# sent_id = Q006013-39
# text = bīt Aššur bīt Šamaš
1	bīt	bītu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	0	root	0:root	E₂
2	Aššur	Aššur	PROPN	DN	Case=Undefined|Gender=M	1	nmod:poss	1:nmod:poss	aš-šur
3	bīt	bītu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Sg	1	conj	1:conj	E₂
4	Šamaš	Šamaš	PROPN	DN	Case=Undefined|Gender=M	3	nmod:poss	3:nmod:poss	{d}UTU

# sent_id = Q006013-40
# text = x uššē ēkalliya addi
1	x	_	X	u	_	_	_	_	x
2	uššē	uššu	NOUN	N	Case=Undefined|Gender=M|Nounbase=Bound|Number=Pl	5	obj	5:obj	uš-še
3-4	ēkalliya	_	_	_	_	_	_	_	_
3	ēkalli	ēkallu	NOUN	N	Case=Gen|Gender=F|Nounbase=Suffixal|Number=Sg	2	nmod:poss	2:nmod:poss	E₂.GAL-li₃-ia
